"Paper","Total Citations","TC per Year"
"JADACH S, 1997, COMPUT PHYS COMMUN","130","5.4167"
"PARKS ML, 2008, COMPUT PHYS COMMUN","128","9.8462"
"AARONSON S, 2004, J ACM","128","7.5294"
"PLATEL MD, 2009, IEEE TRANS EVOL COMPUT","127","10.5833"
"AERTS D, 2005, KYBERNETES","127","7.9375"
"AMBAINIS A, 2002, J ACM","127","6.6842"
"THAPLIYAL H, 2010, ACM J EMERG TECHNOLOGIES COMPUT SYST","123","11.1818"
"JIAO L, 2008, IEEE TRANS SYST MAN CYBERN PART B CYBERN","123","9.4615"
"ADLEMAN LM, 1997, SIAM J COMPUT","123","5.1250"
"AMY M, 2013, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","122","15.2500"
"MASLOV D, 2007, ACM TRANS DESIGN AUTOM ELECTRON SYST","122","8.7143"
"NSKE F, 2014, J CHEM THEORY COMPUT","119","17.0000"
"SHI Y, 2003, QUANTUM INF COMPUT","118","6.5556"
"U'REN AB, 2003, QUANTUM INF COMPUT","116","6.4444"
"TRUONG TK, 2013, APPL SOFT COMPUT J","115","14.3750"
"MAGNIEZ F, 2007, SIAM J COMPUT","114","8.1429"
"RAISSI M, 2019, J COMPUT PHYS","108","54.0000"
"MONTAGNA G, 1993, COMPUT PHYS COMMUN","108","3.8571"
"REGEV O, 2004, J ACM","105","6.1765"
"BEHESHTIAN J, 2012, J MOL MODEL","101","11.2222"
"SRIVASTAVA S, 2009, IEEE TRANS NANOTECHNOL","99","8.2500"
"GROE D, 2009, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","98","8.1667"
"ROD TH, 2005, J CHEM THEORY COMPUT","98","6.1250"
"CH S, 2013, NEUROCOMPUTING","96","12.0000"
"BARNETT RN, 1991, J COMPUT PHYS","96","3.2000"
"GAMBETTA JM, 2017, NPJ QUANTUM INF","95","23.7500"
"AMBAINIS A, 2002, THEOR COMPUT SCI","95","5.0000"
"SEMENOV AV, 2009, COMPUT PHYS COMMUN","94","7.8333"
"KOUDA N, 2005, NEURAL COMPUT APPL","94","5.8750"
"ESTRADA E, 2001, J MOL GRAPH MODEL","93","4.6500"
"WANG GG, 2016, NEURAL COMPUT APPL","92","18.4000"
"KAZARYAN A, 2011, J CHEM THEORY COMPUT","88","8.8000"
"AHARONOV D, 2008, SIAM J COMPUT","88","6.7692"
"ANDERSON AG, 2007, COMPUT PHYS COMMUN","88","6.2857"
"DANOS V, 2007, J ACM","88","6.2857"
"VARGA K, 1997, COMPUT PHYS COMMUN","87","3.6250"
"BUHRMAN H, 2000, SIAM J COMPUT","84","4.0000"
"AMMAR A, 2010, COMPUT METHODS APPL MECH ENG","83","7.5455"
"VERVLIET N, 2014, IEEE SIGNAL PROCESS MAG","82","11.7143"
"JIANG N, 2014, QUANTUM INF PROCESS","82","11.7143"
"SHAPEEV AV, 2016, MULTISCALE MODEL SIMUL","81","16.2000"
"BOULANGER E, 2012, J CHEM THEORY COMPUT","81","9.0000"
"KASABOV N, 2010, NEURAL NETW","81","7.3636"
"PROOS J, 2003, QUANTUM INF COMPUT","81","4.5000"
"LIU W, 2014, IEEE TRANS NANOTECHNOL","79","11.2857"
"ZHISHENG Z, 2010, EXPERT SYS APPL","79","7.1818"
"NAKANO A, 2007, COMPUT MATER SCI","78","5.5714"
"ISAYEV O, 2006, MOL DIVERSITY","78","5.2000"
"ZHANG XM, 1997, IEEE TRANS INF THEORY","78","3.2500"
"VOURKAS I, 2012, IEEE TRANS NANOTECHNOL","77","8.5556"
"YASSINE A, 2017, IEEE ACCESS","76","19.0000"
"BARON R, 2011, COMPUT PHYS COMMUN","76","7.6000"
"GUO H, 2008, DECIS SUPPORT SYST","75","5.7692"
"VANKAMAMIDI V, 2005, IEEE TRANS NANOTECHNOL","75","4.6875"
"SHI S, 1991, COMPUT PHYS COMMUN","75","2.5000"
"QU X, 2015, COMPUT MATER SCI","74","12.3333"
"ISLAM MS, 2009, INF TECHNOL J","74","6.1667"
"PHILLIPS I, 2007, J LOGIC ALGEBRAIC PROGRAM","74","5.2857"
"DE RAEDT K, 2007, COMPUT PHYS COMMUN","74","5.2857"
"LANDIS DD, 2012, COMPUT SCI ENG","73","8.1111"
"D'HONDT E, 2006, QUANTUM INF COMPUT","73","4.8667"
"WEI CY, 2018, IEEE TRANS COMPUT","72","24.0000"
"KANG F, 1991, COMPUT PHYS COMMUN","72","2.4000"
"RUDOLPH T, 2017, APL PHOTONICS","70","17.5000"
"BETTENCOURT LMA, 2009, J INF","70","5.8333"
"MALOSSINI A, 2008, IEEE TRANS EVOL COMPUT","70","5.3846"
"BRECHT T, 2016, NPJ QUANTUM INF","69","13.8000"
"KNIG R, 2012, IEEE TRANS INF THEORY","69","7.6667"
"LI P, 2008, NEUROCOMPUTING","68","5.2308"
"GOLDFIELD EM, 1996, COMPUT PHYS COMMUN","68","2.7200"
"LI HS, 2014, QUANTUM INF PROCESS","67","9.5714"
"WILCKEN R, 2012, J COMP -AIDED MOL DES","67","7.4444"
"MAJOR DT, 2007, J CHEM THEORY COMPUT","67","4.7857"
"HAGHPARAST M, 2009, J CIRCUITS SYST COMPUT","66","5.5000"
"OLIVARES-AMAYA R, 2010, J CHEM THEORY COMPUT","65","5.9091"
"BENNETT CH, 2014, IEEE TRANS INF THEORY","64","9.1429"
"CHILDS AM, 2012, QUANTUM INF COMPUT","64","7.1111"
"GUSEINOV I, 2002, J MOL MODEL","64","3.3684"
"HNNINEN I, 2010, J SIGNAL PROCESS SYST","63","5.7273"
"AARONSON S, 2005, THEORY COMPUT","63","3.9375"
"HAGLER AT, 1994, COMPUT PHYS COMMUN","63","2.3333"
"SOLEIMANPOUR-MOGHADAM M, 2014, INF SCI","62","8.8571"
"GOLUBITSKY O, 2012, IEEE TRANS COMPUT","62","6.8889"
"FILIPPI C, 2012, J CHEM THEORY COMPUT","62","6.8889"
"ERIKSSON MA, 2004, QUANTUM INF PROCESS","61","3.5882"
"MASLOV D, 2005, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","60","3.7500"
"BIHAM E, 2004, THEOR COMPUT SCI","60","3.5294"
"GUPTA S, 2001, J COMPUT SYST SCI","60","3.0000"
"WEI G, 2018, IEEE ACCESS","59","19.6667"
"HUANG W, 2006, INF PROCESS LETT","59","3.9333"
"KOUDA N, 2002, NEURAL PROCESS LETTERS","59","3.1053"
"CHENG C, 2017, IEEE COMMUN MAG","58","14.5000"
"WIEBE N, 2015, QUANTUM INF COMPUT","58","9.6667"
"INTHARATHEP P, 2008, J MOL GRAPH MODEL","58","4.4615"
"REICHARDT BW, 2005, QUANTUM INF PROCESS","58","3.6250"
"FRANK MP, 2002, COMPUT SC ENG","58","3.0526"
"PISANI C, 1994, COMPUT PHYS COMMUN","58","2.1481"
"LEHOUCQ RB, 1998, COMPUT PHYS COMMUN","57","2.4783"
"ESLER K, 2012, COMPUT SCI ENG","56","6.2222"
"LAGAN A, 2010, J GRID COMPUT","56","5.0909"
"SHIMOJO F, 2005, COMPUT PHYS COMMUN","56","3.5000"
"ERBA A, 2017, J CHEM THEORY COMPUT","54","13.5000"
"BOECK S, 2011, COMPUT PHYS COMMUN","54","5.4000"
"LAI XJ, 2010, SCI CHINA SER F INF SCI","54","4.9091"
"DE WOLF R, 2002, THEOR COMPUT SCI","54","2.8421"
"LI HS, 2014, INF SCI","53","7.5714"
"PANCHI L, 2008, J SYST ENG ELECTRON","53","4.0769"
"OGATA S, 2002, COMPUT PHYS COMMUN","53","2.7895"
"KHAN MHA, 2007, J SYST ARCHIT","52","3.7143"
"SCHACK R, 1997, COMPUT PHYS COMMUN","52","2.1667"
"COLE DJ, 2016, J CHEM THEORY COMPUT","51","10.2000"
"ZHANG Y, 2015, QUANTUM INF PROCESS","51","8.5000"
"KOUDA N, 2005, NEURAL PROCESS LETTERS","51","3.1875"
"NEZAMABADI-POUR H, 2015, ENG APPL ARTIF INTELL","50","8.3333"
"BECKETT MG, 2011, COMPUT PHYS COMMUN","50","5.0000"
"FIORI G, 2007, IEEE TRANS NANOTECHNOL","50","3.5714"
"ZHENG M, 2013, J MOL GRAPH MODEL","49","6.1250"
"DONALD J, 2008, ACM J EMERG TECHNOLOGIES COMPUT SYST","49","3.7692"
"VIGOUREUX JM, 1992, J OPT SOC AM A","49","1.6897"
"SHAO HS, 2016, COMPUT PHYS COMMUN","48","9.6000"
"BAI L, 2015, PATTERN RECOGN","48","8.0000"
"REZANIA M, 2008, ENG COMPUT (SWANSEA WALES)","48","3.6923"
"VLACHOGIANNIS JG, 2009, EXPERT SYS APPL","47","3.9167"
"LU M, 2007, SCI CHINA SER F INF SCI","47","3.3571"
"VAN DAM W, 2013, NAT COMPUT","46","5.7500"
"DOWLING MR, 2008, QUANTUM INF COMPUT","46","3.5385"
"ENGEL HA, 2004, QUANTUM INF PROCESS","46","2.7059"
"YEPEZ J, 2002, COMPUT PHYS COMMUN","46","2.4211"
"VAN ENK SJ, 2002, QUANTUM INF COMPUT","46","2.4211"
"HE D, 2015, IEEE WIREL COMMUN","45","7.5000"
"CARAIMAN S, 2014, THEOR COMPUT SCI","45","6.4286"
"WEN X, 2013, QUANTUM INF PROCESS","45","5.6250"
"DE COURCY B, 2010, J CHEM THEORY COMPUT","45","4.0909"
"BROADBENT A, 2009, THEOR COMPUT SCI","45","3.7500"
"VAN DAM W, 2006, SIAM J COMPUT","45","3.0000"
"OTTAVI M, 2006, ACM J EMERG TECHNOLOGIES COMPUT SYST","45","3.0000"
"AHMADI A, 2003, QUANTUM INF COMPUT","45","2.5000"
"JUELS A, 2000, IEEE TRANS INF THEORY","45","2.1429"
"CHENG A, 2000, J MOL GRAPH MODEL","45","2.1429"
"NEUKART F, 2017, FRONT ICT","44","11.0000"
"DAS JC, 2016, FRONT INF TECHNOL ELECTR ENG","44","8.8000"
"SAYEDSALEHI S, 2015, INF SCI","44","7.3333"
"LU X, 2016, MOL SIMUL","43","8.6000"
"ALWALL J, 2015, COMPUT PHYS COMMUN","43","7.1667"
"PERRI S, 2014, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","43","6.1429"
"OLIVEIRA BG, 2009, J MOL MODEL","43","3.5833"
"BRENEMAN CM, 2003, J COMP -AIDED MOL DES","43","2.3889"
"YANG G, 2005, THEOR COMPUT SCI","42","2.6250"
"KOBAYASHI H, 2003, J COMPUT SYST SCI","42","2.3333"
"RIGATOS GG, 2002, IEEE TRANS FUZZY SYST","42","2.2105"
"GHORBANI MA, 2018, ENG APPL COMPUT FLUID MECH","41","13.6667"
"DEY S, 2014, KNOWL BASED SYST","41","5.8571"
"XU H, 2012, J COMP -AIDED MOL DES","41","4.5556"
"WANG SA, 2008, IEICE TRANS FUND ELECTRON COMMUN COMPUT SCI","41","3.1538"
"CHAUDHARY A, 2007, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","41","2.9286"
"ZHANG S, 2005, THEOR COMPUT SCI","41","2.5625"
"PURI S, 2017, NPJ QUANTUM INF","40","10.0000"
"AWAIS M, 2013, IEEE TRANS NANOTECHNOL","40","5.0000"
"HUCUL D, 2008, QUANTUM INF COMPUT","40","3.0769"
"BOYKIN PO, 2007, QUANTUM INF COMPUT","40","2.8571"
"KLAUCK H, 2006, SIAM J COMPUT","40","2.6667"
"LI X, 2015, MOL SIMUL","39","6.5000"
"GESING S, 2012, J GRID COMPUT","39","4.3333"
"KRISHNAMURTHY A, 2009, PROD PLANN CONTROL","39","3.2500"
"FOWLER AG, 2009, QUANTUM INF COMPUT","39","3.2500"
"URBANO-CUADRADO M, 2007, J CHEM INF MODEL","39","2.7857"
"SZAREK P, 2007, J MOL MODEL","39","2.7857"
"BOOTHBY T, 2016, QUANTUM INF PROCESS","38","7.6000"
"DEY S, 2014, SWARM EVOL COMPUT","38","5.4286"
"THAPLIYAL H, 2013, ACM J EMERG TECHNOLOGIES COMPUT SYST","38","4.7500"
"STERLING T, 2009, COMPUT SCI ENG","38","3.1667"
"SHL Y, 2009, QUANTUM INF COMPUT","38","3.1667"
"WHITE I, 2009, J OPT NETWORKING","38","3.1667"
"YU (MARCO) N, 2008, COMPUT -AIDED CIV INFRASTRUCT ENG","38","2.9231"
"BHADURI D, 2005, IEEE TRANS NANOTECHNOL","38","2.3750"
"MONTAGNA G, 1996, COMPUT PHYS COMMUN","38","1.5200"
"CHABI AM, 2017, MICROPROCESSORS MICROSYST","37","9.2500"
"AYYLDZ M, 2016, NEURAL COMPUT APPL","37","7.4000"
"KLYMKO C, 2014, QUANTUM INF PROCESS","37","5.2857"
"ISENHOWER L, 2011, QUANTUM INF PROCESS","37","3.7000"
"LI PC, 2011, ADV ENG SOFTWARE","37","3.7000"
"MARTINEZ-LIMIA A, 2007, J MOL MODEL","37","2.6429"
"YEPEZ J, 1998, INT J MOD PHYS C","37","1.6087"
"DA SILVA AJ, 2016, NEURAL NETW","36","7.2000"
"BOGNER S, 2013, COMPUT PHYS COMMUN","36","4.5000"
"WU X, 2012, J CHEM THEORY COMPUT","36","4.0000"
"ZHANG G, 2012, NAT COMPUT","36","4.0000"
"ZENG B, 2011, IEEE TRANS INF THEORY","36","3.6000"
"ZHANG GX, 2010, MATH COMPUT MODEL","36","3.2727"
"BLOCH AM, 2010, IEEE TRANS AUTOM CONTROL","36","3.2727"
"DAS K, 2010, INT J NANOSCI","36","3.2727"
"DRAA A, 2010, INT ARAB J OF INFO TECH","36","3.2727"
"XIAO J, 2009, COMPUT MATH APPL","36","3.0000"
"KRISHNAN KM, 2007, IEEE TRANS INF THEORY","36","2.5714"
"YEPEZ J, 2001, INT J MOD PHYS C","36","1.8000"
"ABD EL-LATIF AA, 2017, IEEE ACCESS","35","8.7500"
"DAS JC, 2016, MICROPROCESSORS MICROSYST","35","7.0000"
"MCKAGUE M, 2016, THEORY COMPUT","35","7.0000"
"CUI Z, 2015, NEUROCOMPUTING","35","5.8333"
"MORRILL JA, 2008, J MOL GRAPH MODEL","35","2.6923"
"WEI G, 2018, IEEE ACCESS-a","34","11.3333"
"FAN P, 2016, INF SCI","34","6.8000"
"DING X, 2015, NEUROCOMPUTING","34","5.6667"
"CHEN H, 2013, IEEE TRANS CYBERN","34","4.2500"
"VAN DEN NEST M, 2010, QUANTUM INF COMPUT","34","3.0909"
"OH D, 2010, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","34","3.0909"
"GUSEINOV I, 2003, J MOL MODEL","34","1.8889"
"DE WOLF R, 2003, SIAM J COMPUT","34","1.8889"
"MLLHOFF M, 2001, J MOL MODEL","34","1.7000"
"RIST D, 2017, NPJ QUANTUM INF","33","8.2500"
"ALANAZI HO, 2015, J MED SYST","33","5.5000"
"CHANDRA AK, 2012, J MOL MODEL","33","3.6667"
"LIANG J, 2010, J COMPUT SCI TECHNOL","33","3.0000"
"GOLDRIAN G, 2008, COMPUT SCI ENG","33","2.5385"
"HANKEL M, 2008, COMPUT PHYS COMMUN","33","2.5385"
"FRANCISCO E, 2008, COMPUT PHYS COMMUN","33","2.5385"
"SLANINA Z, 2001, J MOL GRAPH MODEL","33","1.6500"
"STRAATSMA TP, 2000, COMPUT PHYS COMMUN","33","1.5714"
"LOGESH R, 2018, FUTURE GENER COMPUT SYST","32","10.6667"
"NISHIMORI H, 2017, FRONT ICT","32","8.0000"
"ZOUACHE D, 2016, SOFT COMPUT","32","6.4000"
"MEIER AM, 2013, QUANTUM INF COMPUT","32","4.0000"
"PRESKILL J, 2013, QUANTUM INF COMPUT","32","4.0000"
"TTH G, 2008, COMPUT PHYS COMMUN","32","2.4615"
"LIU Z, 2018, IEEE COMMUN MAG","31","10.3333"
"MARSALEK O, 2014, J CHEM THEORY COMPUT","31","4.4286"
"ZEN A, 2013, J CHEM THEORY COMPUT","31","3.8750"
"LABOUDI Z, 2012, INT ARAB J OF INFO TECH","31","3.4444"
"PUTZ AM, 2012, INT J MOL SCI","31","3.4444"
"DA SILVA AJ, 2012, NEUROCOMPUTING","31","3.4444"
"DAS K, 2011, MOL SIMUL","31","3.1000"
"HU G, 2010, J COMP -AIDED MOL DES","31","2.8182"
"KLAMT A, 2010, J COMP -AIDED MOL DES","31","2.8182"
"EMMS D, 2009, PATTERN RECOGN","31","2.5833"
"HARDING SL, 2008, INT J UNCON COMP","31","2.3846"
"QIU D, 2007, THEOR COMPUT SCI","31","2.2143"
"IVANYOS G, 2003, INT J FOUND COMPUT SCI","31","1.7222"
"RAWLING JP, 2000, J ACM","31","1.4762"
"CHEN M, 2015, COMPUT PHYS COMMUN","30","5.0000"
"LYAKH DI, 2015, COMPUT PHYS COMMUN","30","5.0000"
"OTTAVI M, 2011, IEEE TRANS NANOTECHNOL","30","3.0000"
"SONG X, 2006, THEORY COMPUT SYST","30","2.0000"
"YEPEZ J, 2005, QUANTUM INF PROCESS","30","1.8750"
"HYER P, 2005, THEORY COMPUT","30","1.8750"
"DEY S, 2016, APPL SOFT COMPUT J","29","5.8000"
"OGORMAN J, 2016, NPJ QUANTUM INF","29","5.8000"
"JAVADIABHARI A, 2015, PARALLEL COMPUT","29","4.8333"
"FOWLER AG, 2011, QUANTUM INF COMPUT","29","2.9000"
"GUTIRREZ E, 2010, COMPUT PHYS COMMUN","29","2.6364"
"SUREZ E, 2009, J CHEM THEORY COMPUT","29","2.4167"
"LI YY, 2007, JISUANJI XUEBAO","29","2.0714"
"DONG D, 2006, ROBOTICA","29","1.9333"
"LI Q, 2004, CHEMOMETR INTELLIGENT LAB SYST","29","1.7059"
"CARLQVIST P, 2003, J MOL MODEL","29","1.6111"
"WANG W, 2003, J COMPUT PHYS","29","1.6111"
"KIM KH, 2003, IEICE TRANS INF SYST","29","1.6111"
"BERTONI A, 2001, THEOR COMPUT SCI","29","1.4500"
"KIM KH, 1999, INT J SOFTWARE ENGINEER KNOWLEDGE ENGINEER","29","1.3182"
"CALEFFI M, 2017, IEEE ACCESS","28","7.0000"
"BARANI F, 2017, APPL INTELL","28","7.0000"
"SIRIANNI DA, 2017, J CHEM THEORY COMPUT","28","7.0000"
"BHATTACHARYYA S, 2014, APPL SOFT COMPUT J","28","4.0000"
"LI P, 2013, NEUROCOMPUTING","28","3.5000"
"LONIE DC, 2011, COMPUT PHYS COMMUN","28","2.8000"
"HOOK IV LR, 2011, IEEE TRANS NANOTECHNOL","28","2.8000"
"PETERSEN DE, 2009, J COMPUT PHYS","28","2.3333"
"FENG Y, 2007, INF COMPUT","28","2.0000"
"VOSS H, 2006, COMPUT PHYS COMMUN","28","1.8667"
"BLINOV BB, 2004, QUANTUM INF PROCESS","28","1.6471"
"KERENIDIS I, 2004, INF PROCESS LETT","28","1.6471"
"RESAT H, 2000, J COMP -AIDED MOL DES","28","1.3333"
"BSHOUTY NH, 1999, SIAM J COMPUT","28","1.2727"
"FRIESNER RA, 1986, J COMPUT PHYS","28","0.8000"
"KAPIL V, 2019, COMPUT PHYS COMMUN","27","13.5000"
"MAZZARELLA L, 2015, IEEE TRANS AUTOM CONTROL","27","4.5000"
"HU X, 2015, NEUROCOMPUTING","27","4.5000"
"LI Y, 2014, INF PROCESS LETT","27","3.8571"
"BOULANGER E, 2014, J CHEM THEORY COMPUT","27","3.8571"
"FOWLER AG, 2014, QUANTUM INF COMPUT","27","3.8571"
"SINAYSKIY I, 2012, QUANTUM INF PROCESS","27","3.0000"
"MEREDITH JS, 2009, PARALLEL COMPUT","27","2.2500"
"VAN METER R, 2008, ACM J EMERG TECHNOLOGIES COMPUT SYST","27","2.0769"
"PHILLIPS I, 2007, ELECTRON NOTES THEOR COMPUT SCI","27","1.9286"
"SRIVASTAVA S, 2007, IEEE TRANS COMPUT","27","1.9286"
"TULSI T, 2006, QUANTUM INF COMPUT","27","1.8000"
"JAKOWSKI J, 2006, J CHEM THEORY COMPUT","27","1.8000"
"SHIAU SY, 2005, QUANTUM INF COMPUT","27","1.6875"
"RUSSELL BURDICK W, 2003, COMPUT PHYS COMMUN","27","1.5000"
"ALEXEEV Y, 2002, COMPUT PHYS COMMUN","27","1.4211"
"CHEUNG KKH, 2001, QUANTUM INF COMPUT","27","1.3500"
"MACLENNAN BJ, 1999, INF SCI","27","1.2273"
"KLEINROCK L, 1972, J ACM","27","0.5510"
"KONAR D, 2017, APPL SOFT COMPUT J","26","6.5000"
"NEJADMALAYERI A, 2015, J COMPUT PHYS","26","4.3333"
"SHANG R, 2014, SOFT COMPUT","26","3.7143"
"GRAZIANO M, 2011, IEEE DES TEST COMPUT","26","2.6000"
"COLE DJ, 2011, PLOS COMPUT BIOL","26","2.6000"
"SANNA N, 2009, COMPUT PHYS COMMUN","26","2.1667"
"CHANG SL, 2007, J COMPUT PHYS","26","1.8571"
"KARAYIANNIS NB, 2006, IEEE TRANS NEURAL NETWORKS","26","1.7333"
"ATICI A, 2005, QUANTUM INF PROCESS","26","1.6250"
"RAMANATHAN C, 2004, QUANTUM INF PROCESS","26","1.5294"
"STERNBERG U, 2001, J MOL MODEL","26","1.3000"
"STEANE AM, 2000, COMPUTER","26","1.2381"
"GAO YL, 2018, IEEE ACCESS","25","8.3333"
"XU L, 2016, NEUROCOMPUTING","25","5.0000"
"LIN CC, 2015, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","25","4.1667"
"WANG L, 2008, KONGZHI YU JUECE CONTROL DECIS","25","1.9231"
"LI L, 2008, THEOR COMPUT SCI","25","1.9231"
"YANG G, 2008, COMPUT J","25","1.9231"
"GAO H, 2008, KONGZHI YU JUECE CONTROL DECIS","25","1.9231"
"ZILIC Z, 2007, IEEE TRANS COMPUT","25","1.7857"
"DAWSON CM, 2005, QUANTUM INF COMPUT","25","1.5625"
"SCHLINGEMANN D, 2004, QUANTUM INF COMPUT","25","1.4706"
"MARINESCU DC, 2003, J PARALLEL DISTRIB COMPUT","25","1.3889"
"HIROSE A, 1996, IEEE TRANS NEURAL NETWORKS","25","1.0000"
"ZHANG X, 2019, INF SCI","24","12.0000"
"HAAH J, 2017, IEEE TRANS INF THEORY","24","6.0000"
"GOSSET D, 2014, QUANTUM INF COMPUT","24","3.4286"
"CHIANG HP, 2014, SOFT COMPUT","24","3.4286"
"HAN X, 2013, ENG APPL ARTIF INTELL","24","3.0000"
"CARAIMAN S, 2013, ADV ELEC COMP ENG","24","3.0000"
"JORDAN SP, 2010, QUANTUM INF COMPUT","24","2.1818"
"DELLA MORTE M, 2009, COMPUT PHYS COMMUN","24","2.0000"
"WONG KY, 2008, J CHEM THEORY COMPUT","24","1.8462"
"TAKAHASHI Y, 2007, QUANTUM INF COMPUT","24","1.7143"
"RADTKE T, 2005, COMPUT PHYS COMMUN","24","1.5000"
"WINSLOW M, 2005, COMPUT METHODS PROGRAMS BIOMED","24","1.5000"
"SMITH PJ, 2004, J COMP -AIDED MOL DES","24","1.4118"
"NAKANO A, 2002, SCI PROGRAM","24","1.2632"
"SLANINA Z, 2001, MATCH","24","1.2000"
"GOLDFIELD EM, 2000, COMPUT PHYS COMMUN","24","1.1429"
"PALITTAPONGARNPIM P, 2017, NEUROCOMPUTING","24","6.0000"
"SRIKANTH K, 2018, COMPUT ELECTR ENG","23","7.6667"
"MARTNEZ-FERNNDEZ L, 2016, J CHEM THEORY COMPUT","23","4.6000"
"CAO H, 2015, INF SCI","23","3.8333"
"LIU F, 2014, CHEMOMETR INTELLIGENT LAB SYST","23","3.2857"
"ALANIS D, 2014, IEEE ACCESS","23","3.2857"
"ZHANG RL, 2014, ENG APPL ARTIF INTELL","23","3.2857"
"LIU CY, 2013, NEURAL NETW","23","2.8750"
"SHIMOJO F, 2013, COMPUT PHYS COMMUN","23","2.8750"
"NOWOTNIAK R, 2012, BULL POL ACAD SCI TECH SCI","23","2.5556"
"SAEEDI M, 2011, QUANTUM INF COMPUT","23","2.3000"
"KAST SM, 2010, J COMP -AIDED MOL DES","23","2.0909"
"CHULUUNBAATAR O, 2009, COMPUT PHYS COMMUN","23","1.9167"
"LPEZ-DURN D, 2008, COMPUT PHYS COMMUN","23","1.7692"
"GOTHANDARAMAN A, 2008, PARALLEL COMPUT","23","1.7692"
"GIESE TJ, 2006, J MOL GRAPH MODEL","23","1.5333"
"DIACONIS P, 2004, ELECTRON J COMB","23","1.3529"
"LEE JS, 2002, J PARALLEL DISTRIB COMPUT","23","1.2105"
"PITMAN MC, 2001, J COMP -AIDED MOL DES","23","1.1500"
"BONNET FDR, 2001, J COMPUT PHYS","23","1.1500"
"ABRASHKEVICH AG, 2000, J COMPUT PHYS","23","1.0952"
"PROKOP M, 2000, BIOINFORMATICS","23","1.0952"
"PASSARINO G, 1996, COMPUT PHYS COMMUN","23","0.9200"
"TORRES FS, 2018, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","22","7.3333"
